#	CASTANEA daily								
#	climate	input	data						
#	y	year							
#	m	month							
#	d	day							
#	gr	global	radiation	(mJ/d)					
#	rh	relative	humidity	(%)					
#	ws	wind	speed	(m/s)					
#	p	precipitation	(mm)						
#	tmax	max	temperature	(celcius	degree)				
#	tmin	min	temperature	(celcius	degree)				
#	tj	average	temperature	(celcius	degree)
# y	m	d	gr	rh	ws	p	tmax	tmin	tj
1959	1	1	2.523	92.3187622986224	6.1	0.206053859665589	1.43534004893538	0.680078797983358	1.05770942345937
1959	1	2	8.003	81.9695943634399	4.7	0.412107719331178	-0.0723929677897528	-2.55344398518839	-1.31291847648907
1959	1	3	2.891	91.2639843665991	5.4	0.618161578996768	-3.85558268517843	-4.82670655470763	-4.34114461994303
1959	1	4	1.617	90.5550827720561	6.9	0.618161578996768	-3.85558268517843	-4.82670655470763	-4.34114461994303
1959	1	5	7.818	64.4065417475132	7.7	0.206053859665589	-5.12361888171324	-7.19020511894828	-6.15691200033076
1959	1	6	1.145	95.6214396797936	5.2	3.70896947398061	-2.25772734082895	-5.36782450217827	-3.81277592150361
1959	1	7	1.865	98.6588655734825	4.7	2.78172710548545	-0.488032559506855	-1.02246581843564	-0.755249188971249
1959	1	8	2.268	92.1006446398398	6.3	0.103026929832795	-2.69886162873515	-5.76009494829186	-4.22947828851351
1959	1	9	7.687	84.1795974901249	6.7	0	-6.97648574935731	-7.19020511894828	-7.0833454341528
1959	1	10	3.449	84.0618065774157	5.7	0	-7.05617784099538	-7.87245728274135	-7.46431756186837
1959	1	11	9.832	70.9920114815698	4.4	0	-7.90889097283389	-10.0700988409278	-8.98949490688084
1959	1	12	4.626	76.6265063686062	4.8	0	-6.91273207604686	-9.97942543015856	-8.44607875310271
1959	1	13	6.902	74.1818664390384	4.7	0.412107719331178	-4.88567852562126	-9.02029974094607	-6.95298913328366
1959	1	14	0.675	97.316588399042	7	4.73923877230855	-1.53060790584211	-6.54098420777298	-4.03579605680755
1959	1	15	3.142	96.8966781599791	7.1	0.412107719331178	-1.18289390600522	-1.27245706184494	-1.22767548392508
1959	1	16	2.668	89.3521207546021	8.1	0	-2.86929987633527	-6.05140127114415	-4.46035057373971
1959	1	17	10.283	43.7927150235872	7	0	-3.36718400928228	-7.9859532526838	-5.67656863098304
1959	1	18	7.6	53.9924862336206	2.2	0	-1.53060790584211	-6.74326519108742	-4.13693654846477
1959	1	19	1.529	90.9618880078692	4.5	0	-0.816127084259449	-3.82740122914429	-2.32176415670187
1959	1	20	1.52	88.629111102633	4.9	0	1.32795009617921	-0.929554634387803	0.199197730895701
1959	1	21	3.323	87.967314675093	7.3	0	4.69171085902413	2.24682629405121	3.46926857653767
1959	1	22	2.416	93.145985334265	5.7	0	4.00845450240186	2.95449498551323	3.48147474395754
1959	1	23	3.873	95.9870389580534	4.5	0	2.64696528600085	2.33939822682148	2.49318175641117
1959	1	24	2.523	92.1006446398398	6.9	0	4.43962666677887	0.478481581373079	2.45905412407598
1959	1	25	11.165	46.5079862151662	5.9	0	-1.4186725771275	-1.82848483269519	-1.62357870491134
1959	1	26	8.985	59.1150102098371	4.9	0	-0.233685943679971	-3.32995564124412	-1.78182079246205
1959	1	27	11.174	66.8129366439266	3.4	0	2.83244949928945	-4.48267189581957	-0.825111198265059
1959	1	28	6.238	73.2494661702596	2.8	0	0.996777962349077	-3.73758992574813	-1.37040598169953
1959	1	29	11.593	53.8135224103194	2.8	0	4.96906443779598	-1.49905340279615	1.73500551749991
1959	1	30	11.711	43.4073273194412	1	0	7.4897158725982	-0.0710314764397473	3.70934219807923
1959	1	31	11.905	71.7812600194822	2	0	4.77736417011543	-2.21444946360761	1.28145735325391
1959	2	63	9.932	75.9122509546099	6.6	0.721188508829562	-3.1229846713342	-4.94020252465008	-4.03159359799214
1959	2	64	1.673	97.6808695038701	6.1	6.28464271980047	-4.28291652341333	-6.17061057635217	-5.22676354988275
1959	2	65	0.926	97.1407285553319	3.9	19.2660358787326	-0.488032559506855	-3.93937376324859	-2.21370316137772
1959	2	66	1.266	92.991020455915	3.5	3.29686175464943	2.72930218068018	0.785222173887857	1.75726217728402
1959	2	67	5.259	87.398900117384	5.8	0.103026929832795	4.69171085902413	1.84582099335711	3.26876592619062
1959	2	68	11.951	87.5162578920769	2.2	0	4.87443792268558	-1.18288800671969	1.84577495798295
1959	2	69	5.505	93.2521017038507	6.4	0	4.12192086144845	-2.55344398518839	0.784238438130029
1959	2	70	7.078	84.7286843601387	3.9	0	5.04900752814787	-0.369186170414138	2.33991067886686
1959	2	71	13.217	80.5010653658021	1.8	0	4.43962666677887	-2.21444946360761	1.11258860158563
1959	2	72	4.438	91.1592489638577	2.4	0	2.56281878924066	-3.93937376324859	-0.688277487003963
1959	2	73	10.849	86.7857833153334	4.1	0	3.57629567403315	-3.20300214826993	0.18664676288161
1959	2	74	10.46	81.0800084444597	2.5	0	3.78842843225067	-3.53930522993844	0.124561601156115
1959	2	75	10.469	62.6904879676907	3.4	0	4.12192086144845	-3.44366202372435	0.339129418862048
1959	2	76	14.249	44.0554793673232	1.2	0	4.87443792268558	-3.53930522993844	0.667566346373573
1959	2	77	14.36	31.1894682917967	1.3	0	6.64490725387866	-2.33706253696377	2.15392235845745
1959	2	78	13.159	27.5597204613615	5.4	0	6.31874072549689	0.478481581373079	3.39861115343498
1959	2	79	14.765	54.290759272456	4.7	0	6.85022306088073	-1.82848483269519	2.51086911409277
1959	2	80	14.94	62.2474616333058	3.5	0	7.11864051498895	-2.83200213482108	2.14331919008394
